,Type,Compounds,SMILES,SCF,Ref,Cultivate_mode,pH,PFAS_concentration (μg/kg),Exposure_time,Protein_content (%),Lipid_content (%),Species_alfalfa,Species_celery,Species_head_lettuce,Species_leaf_lettuce,Species_lettuce,Species_maize,Species_mung bean,Species_pea,Species_radish,Species_radish_e,Species_romaine_lettuce,Species_ryegrass,Species_soybean,Species_tomato,Species_wheat,SpAbs_A,SpMAD_A,nO,AATS6Z,AATS7i,AATS6se,Predictions
12,6,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,-0.197226275,[5],0,8.2,31.2,210,4,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16.6718243,0.980695547,3,56,236.9229527,13.283136,-0.228055255
17,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-0.191789027,[5],0,8.43,0.7,210,4,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,31.83823405,1.027039808,2,62.22222222,237.1079339,12.911916,-0.144799308
77,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.180456064,[14],0,6.5,1000,45,3.4,3.23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.249264907
83,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.180456064,[14],0,6.5,1000,45,5.47,3.23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.105383845
39,11,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,-0.176525771,[5],0,8.21,13,210,4,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,22.98041838,0.999148625,3,68.8,232.0671768,13.0782402,-0.262068712
18,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-0.17327748,[5],0,8.15,4.5,210,4,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,31.83823405,1.027039808,2,62.22222222,237.1079339,12.911916,-0.193398603
132,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.165579296,[13],0,8.26,154.4,45,10.4,2.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.183441758
43,12,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-0.161150909,[4],0,6.1,20.15,224,1.38,0.17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.68393753,1.02442634,2,61.86666667,237.3361947,12.9281544,-0.143796132
119,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.15490196,[14],0,6.5,1000,45,6.97,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.116868608
51,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-0.148741651,[4],0,6.1,78.52,224,1.38,0.17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.529641,1.02118564,2,61.33333333,237.7166294,12.952512,-0.110143438
